hood.name,population,area,density
Acton,7971,92.50907207254122,86.16452226166014
Adams-Normandie,8202,0.5414658327385266,15147.770189888859
Agoura Hills,20883,11.44383609415749,1824.8251572443928
Agua Dulce,4158,63.27136138594306,65.71693589200657
Alhambra,86724,11.154234803851548,7774.984257105138
Alsace,12445,0.90833005672298,13700.966854381482
Altadena,43620,12.831717664542253,3399.3890093556743
Anaverde,1508,17.51546867723243,86.09532681019158
Angeles National Forest,1245,1023.8495934741138,1.2159989200908714
Angelino Heights,2502,0.21904006775668228,11422.567686471468
Arcadia,65735,17.584001066030694,3738.34144761222
Arleta,34370,4.190958252719563,8200.988396316498
Artesia,16795,2.3580067122157935,7122.541217967068
Athens Village,4897,0.6563507044274072,7460.950322696898
Athens-Westmont,42442,4.636137142642221,9154.60407968249
Atwater Village,14666,3.4066756655354586,4305.076690561562
Avalon,3723,4.265538785041137,872.8088496243963
Avocado Heights,6775,1.8114537808398021,3740.0899055006885
Azusa,65963,16.432455976892403,4014.1899721355276
Baldwin Hills,31125,3.789198689531578,8214.137750545799
Baldwin Park,76769,9.906363150996947,7749.463534685198
Bandini Islands,0,0.0700404300152565,0
Bassett,14817,1.8023680622247829,8220.851395752314
Bel Air,8429,9.7849708624541,861.4231067711102
Bell,36332,3.8165056396020454,9519.702951045138
Bell Gardens,43071,3.592705625315849,11988.457862092015
Bellflower,77735,8.994608623737092,8642.399380764004
Beverly Crest,12525,12.288256563625488,1019.2658279186078
Beverly Hills,34520,8.349360792367065,4134.448236032389
Beverlywood,13173,1.5668584408050905,8407.268746774205
Bouquet Canyon,1073,41.295930476715554,25.983189811039715
Boyle Heights,86884,7.543487296769946,11517.749892308157
Bradbury,1177,2.9128207155521637,404.0756761017762
Brentwood,30955,13.480249869617648,2296.3224197919117
Brookside,581,0.1495361548879377,3885.3479978497576
Burbank,107180,25.410628877436885,4217.920009652709
Cadillac-Corning,7121,0.3519283743528786,20234.23093717295
Calabasas,24323,20.136720825366552,1207.8927950056259
Canoga Park,65289,6.745730662698424,9678.566083437894
Canyon Country,7728,8.741775502223327,884.0309383413598
Carson,93846,27.52043332717092,3410.0480499100954
Carthay,14363,1.4489446083851634,9912.732285885962
Castaic,27191,450.30465151045314,60.38356456855033
Central,38992,2.183496909925661,17857.59339651528
Century City,12792,1.6897762066597788,7570.233235373963
Century Palms/Cove,33766,3.0235685596688646,11167.598595382267
Cerritos,50654,12.91564860273335,3921.9091164558354
Charter Oak,0,0.01590784659615815,0
Chatsworth,37061,15.430815957661002,2401.752447938449
Cheviot Hills,9171,2.532651551633615,3621.1061067932956
Chinatown,8021,0.5861877659063657,13683.328903321448
Claremont,37186,21.167579922246873,1756.7431013177827
Cloverdale/Cochran,14553,1.263103664940705,11521.619645275254
Commerce,13069,9.559206699965657,1367.1636580519755
Compton,99904,14.695464454565917,6798.288023415251
Country Club Park,15153,1.4126568425851698,10726.59654008395
Covina,65851,15.929415958096993,4133.92431795515
Covina (Charter Oak),13144,1.91904528360972,6849.239104601099
Crenshaw District,13829,1.726529788466195,8009.708313393961
Crestview,11368,1.1387555739325765,9982.827096724337
Cudahy,24347,1.7912915081729128,13591.86926801966
Culver City,39865,7.490569549161679,5322.025212950805
Del Aire,4393,0.8063518164301116,5447.99417634939
Del Rey,30254,3.4876397533518957,8674.634463299579
Del Sur,2415,50.47370015547553,47.84670021339844
Desert View Highlands,2493,0.6558089706362186,3801.4118617216704
Diamond Bar,57515,21.70855365782672,2649.416488383313
Downey,114263,18.304643205112285,6242.295942052976
Downtown,27507,3.0376158620774256,9055.45705874342
Duarte,26444,10.311082220798017,2564.6192546754214
Eagle Rock,39589,6.768072606377746,5849.37578280324
East Covina,329,0.5468157849639539,601.6651476542281
East Hollywood,29287,1.6110795651867338,18178.49387010595
East La Mirada,5292,0.9408283402066616,5624.830560309826
East Lancaster,114,4.831585715575033,23.594738189681948
East Los Angeles,125269,10.862173249235843,11532.590866087752
East Pasadena,6403,4.4101801704036685,1451.8681216177902
East Rancho Dominguez,15308,1.2015073499404765,12740.662802236182
East Whittier,5306,0.6561375522962408,8086.718983589562
Echo Park,14256,1.4550082049958033,9797.882892379372
El Camino Village,8791,1.6625844686069084,5287.550898010038
El Monte,117414,14.054812632769032,8354.0067781656
El Segundo,16786,7.915545794753854,2120.6370900065
El Sereno,41808,5.716651147998834,7313.3726228222395
Elizabeth Lake,1661,13.206928615596011,125.76731868138755
Elysian Park,5712,2.5575506054182164,2233.386892872824
Elysian Valley,10171,1.4077529566093072,7224.989265515534
Encino,45172,20.709826388560284,2181.1868024616642
Exposition,3326,0.5142240519066115,6467.997729137798
Exposition Park,44917,3.7079843000644135,12113.58958537654
Faircrest Heights,3600,0.6857907583385361,5249.414571759049
Figueroa Park Square,8721,1.0408955658301884,8378.362139571977
Florence-Firestone,112150,8.773187070798995,12783.267824447088
Franklin Canyon,0,0.25918554052320386,0
Gardena,61310,8.52071144946461,7195.4085481737975
Glassell Park,31604,4.446560841788319,7107.51547645292
Glendale,206493,44.835445207522874,4605.574875954457
Glendora,53424,29.568257220470663,1806.8024639278894
Gramercy Place,10764,1.668702133937111,6450.522104027984
Granada Hills,58191,23.12015383939697,2516.8950174043375
Green Meadows,21505,1.7872084603259089,12032.731758710692
Hacienda Heights,55926,17.725790204904552,3155.0638563084103
Hancock Park,17039,3.0041619380218636,5671.798109265571
Harbor City,29070,6.6237752255190925,4388.735881012907
Harbor Gateway,43600,7.495387091909842,5816.911050139055
Harbor Pines,2409,0.3486525397831108,6909.45776990062
Harvard Heights,18035,1.09455540524468,16477.009673136105
Harvard Park,37935,3.300407305147732,11494.035884853298
Hawaiian Gardens,14676,1.3883010759029473,10571.193997278126
Hawthorne,91301,9.028129752978394,10112.947254649243
Hermosa Beach,19670,2.111543959064909,9315.458442414243
Hi Vista,1098,252.28480445836132,4.352224076108479
Hidden Hills,1890,2.4711922447437256,764.8130185015217
Highland Park,48391,4.433907632186133,10913.849365901398
Historic Filipinotown,13870,0.8747066374037716,15856.744886683073
Hollywood,68254,6.489177782309274,10518.12761026109
Hollywood Hills,29434,10.311510331495205,2854.479998928728
Huntington Park,59484,4.395090077918262,13534.193599093343
Hyde Park,28541,2.976450069326434,9588.93962110333
Industry,437,17.566471017052304,24.87693740967044
Inglewood,113582,13.256497681212567,8568.02473257859
Irwindale,1459,14.088404379762277,103.5603437175487
Jefferson Park,8073,0.657821243041515,12272.330949170206
Kagel/Lopez Canyons,1412,12.853138961214567,109.85643306750431
Koreatown,51693,2.129170183431458,24278.472619172906
La Canada Flintridge,20693,12.676647306273665,1632.371675258256
La Crescenta-Montrose,19801,5.045195711869343,3924.7238622311734
La Habra Heights,5455,9.192671966982653,593.4074466697756
La Mirada,49599,11.420962025274354,4342.804037894394
La Puente,40697,5.07075270936885,8025.8301543293965
La Rambla,2075,0.30404154014957196,6824.7253285824445
La Verne,35322,16.925883667905122,2086.862978207608
Ladera Heights,7071,4.311017835065987,1640.2159004038933
Lafayette Square,4559,0.37927063809469286,12020.440134524071
Lake Balboa,42206,5.587340081531707,7553.862729692604
Lake Hughes,668,14.160537548860194,47.173350425088096
Lake Los Angeles,12994,67.21782948734976,193.31180579767815
Lake Manor,1643,0.8032922962568881,2045.332698515732
Lakeview Terrace,13133,8.769741225106813,1497.5356356469963
Lakewood,80362,13.789417767382002,5827.80225790905
Lancaster,161570,140.16878951194343,1152.6817101194488
Lawndale,33614,2.8629123553614555,11741.190727355006
Leimert Park,15235,1.9201012211385569,7934.477532890764
Lennox,22542,1.5957440164046643,14126.325882010125
Leona Valley,1751,32.703698351524714,53.541345115738714
Lincoln Heights,32597,4.773364481457009,6828.935885082502
Little Armenia,8025,0.3682370535041123,21793.026865805023
Little Bangladesh,28343,0.7326020392383158,38688.125997394345
Little Tokyo,3133,0.3263012351233066,9601.557281314195
Littlerock,4021,4.9641937596481736,810.0006153436242
Littlerock/Juniper Hills,1297,51.91686862782995,24.982246315694496
Littlerock/Pearblossom,3569,36.43908051883767,97.94429357664384
Llano,877,136.7055560352432,6.415247671235148
Lomita,20729,2.784267238722685,7445.046837353756
Long Beach,467354,75.2602877048325,6209.835415896117
Longwood,4304,0.3440531987070044,12509.69331537965
Los Feliz,21608,15.298349200480521,1412.4399774664114
Lynwood,72047,7.240056128490662,9951.165946971694
Malibu,12961,28.744764128781597,450.8995078871561
Manchester Square,8536,1.1042567343189562,7730.086432540099
Mandeville Canyon,3124,6.359958654216194,491.19816178820804
Manhattan Beach,35999,5.71387481029587,6300.278041642277
Mar Vista,42471,5.132324383892381,8275.19790707184
Marina del Rey,9411,1.2966800698755676,7257.765595875242
Marina Peninsula,4360,0.5609045907583476,7773.157987716314
Maywood,28049,1.7177438200800272,16328.977390058802
Melrose,77696,6.54861985823059,11864.48468257755
Mid-city,15030,1.6415573859674648,9155.939431957142
Miracle Mile,17985,1.7440288956995043,10312.32913878212
Mission Hills,24124,5.4539124002340875,4423.246695154945
Monrovia,42681,20.682756712089628,2063.6030580513384
Montebello,64375,12.212171548291535,5271.380257428988
Monterey Park,62262,11.298347286943423,5510.717489800575
Mt. Washington,24145,3.4511761632155613,6996.165613726133
Newhall,0,1.8951684095170709,0
North Hills,61575,7.677572965993325,8020.112641421627
North Hollywood,151421,16.56190472483922,9142.7286001049
North Lancaster,1198,67.35001800478784,17.787671562535223
North Whittier,8360,1.8799775973039101,4446.861500897212
Northeast San Gabriel,24036,3.2058021717863388,7497.655411034501
Northridge,69797,14.09257859838103,4952.748676386191
Norwalk,107622,14.200749743592146,7578.613942447838
Pacific Palisades,21291,8.397587028075478,2535.3711642187504
Pacoima,76979,8.6987626913762,8849.41947850993
Padua Hills,0,0.10889486682224644,0
Palisades Highlands,3846,27.014699806243797,142.36693457948735
Palmdale,159810,196.15196246163063,814.7254709789636
Palms,43877,2.673523622462723,16411.674702010896
Palos Verdes Estates,13522,6.929952365969461,1951.2399632646463
Palos Verdes Peninsula,621,0.24085710059132814,2578.2922673875223
Panorama City,75250,5.551649124734403,13554.53097075908
Paramount,56023,7.015049877189807,7986.115705629526
Park La Brea,13580,0.6996255456418121,19410.383289452617
Pasadena,138101,33.86915771345061,4077.485515536022
Pearblossom/Llano,1956,24.47813119191201,79.90806098164454
Pellissier Village,619,0.4604477949049827,1344.3434996311273
Pico Rivera,64284,12.98195813628725,4951.79535514854
Pico-Union,41842,1.9563987963842608,21387.25503068737
Placerita Canyon,460,2.533953243465773,181.53452562164978
Playa Del Rey,3196,0.97578385463380235,3275.3155166718893
Playa Vista,10947,1.969829595896268,5557.333498697455
Pomona,157869,35.30435780298389,4471.657603318791
Porter Ranch,35588,12.027536838168757,2958.8768239780693
Quartz Hill,12906,6.038244712871029,2137.3761107246564
Rancho Dominguez,2661,3.926576366983285,677.6896082742933
Rancho Palos Verdes,42747,19.549092428634705,2186.6488255682884
Rancho Park,6560,1.2292825983319964,5336.445833448884
Redondo Beach,68697,9.060052991745495,7582.405981796023
Regent Square,2780,0.2953859856161803,9411.414675617978
Reseda,76617,9.079247005325671,8438.695406684968
Reseda Ranch,4636,1.0548964581726719,4394.7441135887775
Reynier Village,4228,0.5059342546072821,8356.817039956844
Rolling Hills,1940,4.337478018111658,447.2645145172605
Rolling Hills Estates,8113,5.2172649437221015,1555.0293281084596
Roosevelt,931,82.45915996089907,11.290437598945546
Rosemead,55350,7.558072995692791,7323.295240935483
Rosewood,1286,0.15247287162860126,8434.287268704977
Rosewood/East Gardena,1193,1.4566109447624713,819.0244651735346
Rosewood/West Rancho Dominguez,3361,0.6747897557791825,4980.810646894068
Rowland Heights,51022,27.613292480083384,1847.7332986206043
San Clemente Island,0,81.29723726275104,0
San Dimas,34516,22.53944190208643,1531.360011039356
San Fernando,24612,3.482704293614649,7066.922117138908
San Francisquito Canyon/Bouquet Canyon,0,92.31249420371822,0
San Gabriel,40954,6.041566654251225,6778.705316638723
San Jose Hills,20221,2.2010361116546693,9187.036910902154
San Marino,13277,5.507821596055456,2410.5719055077248
San Pasqual,2035,0.3745895610134344,5432.612682783801
San Pedro,78038,17.27090854879456,4518.465243419215
Sand Canyon,0,0.3913530759136649,0
Santa Catalina Island,267,103.41558336422253,2.5818159247784203
Santa Clarita,220424,104.40391790361352,2111.2617651331543
Santa Fe Springs,18364,12.926874613510227,1420.6063374984149
Santa Monica,92446,12.421425132909267,7442.463244823171
Santa Monica Mountains,18621,166.1065600104896,112.10273693479708
Saugus,155,2.7935141136189166,55.485669195063416
Saugus/Canyon Country,356,7.185946041126175,49.54114572563754
Shadow Hills,4442,4.484196436018986,990.5899670942052
Sherman Oaks,87254,16.049932793922114,5436.409056681027
Sierra Madre,10989,4.330310569351966,2537.693272573868
Signal Hill,11797,3.1800906366915016,3709.642695050147
Silverlake,44083,5.562988318034953,7924.3380499442965
South Antelope Valley,455,16.592119428425036,27.42265700067889
South Carthay,10595,0.7753576900305233,13664.661015463596
South Edwards,0,110.86971545955909,0
South El Monte,22680,4.351604653589249,5211.870517992322
South Gate,98155,10.710570865145787,9164.310776320508
South Park,37961,2.102566372310189,18054.60246103454
South Pasadena,26053,4.995692779696824,5215.092510468807
South San Gabriel,8848,2.0693196487888406,4275.801471840601
South Whittier,59222,7.791650496934832,7600.700265405568
Southeast Antelope Valley,781,6.4684874307230045,120.73920037171735
St Elmo Village,4584,0.219000163002456,20931.49126993386
Stevenson Ranch,20966,62.955947548517976,333.02651800836173
Studio City,22440,6.289336183149332,3567.9441115140644
Sun Valley,52483,20.186986542955836,2599.8432152476826
Sun Village,6036,16.47207007199005,366.43846059542466
Sunland,20408,9.696619953413538,2104.6509090846334
Sunrise Village,1296,0.16714244843525777,7753.865114055706
Sycamore Square,647,0.09594454778395162,6743.47855030718
Sylmar,82398,17.404104148784025,4734.4005353907805
Tarzana,30876,9.404658421301376,3283.0538459606823
Temple City,36455,5.886378697010818,6193.111567645544
Temple-Beaudry,39482,2.0255497327974403,19491.992401229425
Thai Town,9809,0.32066375648225137,30589.674703517438
Toluca Lake,8704,1.512096524478011,5756.246283949828
Toluca Terrace,1306,0.13016846058438536,10033.152379130648
Toluca Woods,1858,0.37703599148537376,4927.911504363839
Torrance,149268,29.866113447518515,4997.90507600855
Tujunga,27810,8.097280434040766,3434.486458328336
Twin Lakes/Oat Mountain,1658,29.343295075342645,56.503538397541035
Universal City,0,0.7463067846868949,0
University Hills,3429,0.6884986376562173,4980.402011648099
University Park,27456,1.9911823416781838,13788.792430159798
Val Verde,3309,26.63533116864187,124.23348442897267
Valencia,3072,0.9880103189126462,3109.279266820701
Valinda,23371,2.9620366679890275,7890.179163739703
Valley Glen,30016,3.436334323586812,8734.889324933201
Valley Village,24720,2.9947702244842693,8254.389534762067
Van Nuys,93194,10.807874027350184,8622.787401496833
Venice,33885,4.0760962830985,8313.100978626015
Vermont Knolls,17200,1.551456617178604,11086.355757261843
Vermont Square,7657,0.6486313820810392,11804.855903569809
Vermont Vista,41186,2.763186660886812,14905.25435106937
Vernon,209,7.515615752273288,27.808766026493927
Vernon Central,51998,3.33040680066583,15613.107680900821
Victoria Park,8399,0.5884588494166054,14272.875679117951
View Heights,3694,0.5018025435427441,7361.461290969604
View Park/Windsor Hills,11635,2.702294034493731,4305.601038037961
Walnut,30532,13.310979084278673,2293.7456220677805
Walnut Park,16143,1.0909704239703513,14796.918088073404
Watts,42674,3.0410206337088637,14032.788704874489
Wellington Square,4915,0.5126903835524923,9586.682640589792
West Adams,27630,2.1368315982523227,12930.359146035698
West Antelope Valley,1511,342.10785286272585,4.416735796492528
West Carson,22086,3.6017738651976163,6131.978526860742
West Chatsworth,0,2.0297284168396046,0
West Covina,108235,23.470314545897512,4611.570066022779
West Hills,40545,14.656161685652863,2766.4132580967707
West Hollywood,36951,2.770191749547192,13338.787831578775
West LA,952,1.317199091735114,722.7457154908556
West Los Angeles,37636,3.127658651856566,12033.282461198065
West Puente Valley,9835,1.1534268846163878,8526.765008837965
West Rancho Dominguez,1359,0.26711675620589936,5087.662860627333
West Vernon,53644,3.679210805213601,14580.300732968095
West Whittier/Los Nietos,26925,3.785460393288045,7112.741173501749
Westchester,51603,18.78206801160478,2747.4610340094778
Westfield/Academy Hills,1300,0.7594132531967402,1711.8479227583491
Westhills,839,0.3253882228221622,2578.4584110733085
Westlake,59355,1.6788036551112835,35355.534174164946
Westlake Village,8360,8.05156012989812,1038.3080875166715
Westwood,54109,5.547034907770199,9754.580762454725
White Fence Farms,3683,8.513316997542255,432.6163352149651
Whittier,91216,28.36915740553548,3215.3228485454297
Whittier Narrows,0,4.344203498923778,0
Wholesale District,36129,9.165182278871475,3941.983792650617
Willowbrook,34913,5.020957180496714,6953.455037540496
Wilmington,56487,10.250336292041387,5510.74602731404
Wilshire Center,50170,1.8853273028609807,26610.764042862542
Winnetka,51786,7.347339537769504,7048.265529827566
Wiseburn,6027,0.6737166001209627,8945.898021390418
Woodland Hills,68055,21.6064702802268,3149.7509365183378
