City/Comminity*,Number of Persons Vaccinated**,Percentage of People Vaccinated***
City of Agoura Hills,3406,19.5
City of Alhambra,11914,16.7
City of Arcadia,9674,19.5
City of Artesia,2521,18.2
City of Avalon,250,8.3
City of Azusa,4445,11.2
City of Baldwin Park,6790,11.7
City of Bell,1921,7.2
City of Bell Gardens,2311,7.5
City of Bellflower,6847,11.5
City of Beverly Hills,8652,29.2
City of Bradbury,142,15.4
City of Burbank,12296,14.1
City of Calabasas,4841,24.2
City of Carson,13216,17.6
City of Cerritos,10733,24.6
City of Claremont,6680,21.1
City of Commerce,1124,11.5
City of Compton,4743,6.7
City of Covina,6138,15.9
City of Cudahy,1004,5.7
City of Culver City,6616,20.1
City of Diamond Bar,8593,17.7
City of Downey,11896,13.5
City of Duarte,3556,20.1
City of El Monte,9630,10.8
City of El Segundo,2017,14.4
City of Gardena,7710,16
City of Glendale,26141,15.1
City of Glendora,8094,18.9
City of Hawaiian Gardens,810,7.6
City of Hawthorne,6347,9.6
City of Hermosa Beach,2734,16.7
City of Hidden Hills,378,23.2
City of Huntington Park,3330,7.6
City of Industry,270,70.1
City of Inglewood,8236,9.5
City of Irwindale,151,12.5
City of La Canada Flintridge,4716,26.5
City of La Habra Heights,475,9.9
City of La Mirada,6275,15.4
City of La Puente,3130,10.1
City of La Verne,5411,19.4
City of Lakewood,10070,15.6
City of Lancaster,10684,8.9
City of Lawndale,2148,8.4
City of Lomita,2298,14
City of Long Beach,53519,14.5
City of Lynwood,4340,8.4
City of Malibu,1797,16.8
City of Manhattan Beach,6267,21.8
City of Maywood,1543,7.7
City of Monrovia,5108,16.9
City of Montebello,6496,13
City of Monterey Park,9215,17.9
City of Norwalk,10106,12.3
City of Palmdale,10025,8.5
City of Palos Verdes Estates,3124,26.7
City of Paramount,3450,8.5
City of Pasadena,23956,20.3
City of Pico Rivera,6588,13.3
City of Pomona,12272,10.6
City of Rancho Palos Verdes,9123,25
City of Redondo Beach,8836,16.3
City of Rolling Hills,461,26.8
City of Rolling Hills Estates,2008,28.3
City of Rosemead,5989,13.4
City of San Dimas,5501,18.9
City of San Fernando,1959,10.5
City of San Gabriel,5150,15.3
City of San Marino,3015,27
City of Santa Clarita,27853,16.3
City of Santa Fe Springs,1852,12.8
City of Santa Monica,14953,18.6
City of Sierra Madre,2321,25.1
City of Signal Hill,1521,16.8
City of South El Monte,1490,9.4
City of South Gate,6316,8.8
City of South Pasadena,4611,21.4
City of Temple City,5401,17.6
City of Torrance,22260,18.4
City of Vernon,46,20.7
City of Walnut,5589,21.1
City of West Covina,14446,16.8
City of West Hollywood,4314,12.6
City of Westlake Village,950,13.1
City of Whittier,9777,14.3
Los Angeles - Adams-Normandie,531,8.4
Los Angeles - Alsace,672,7.3
Los Angeles - Angeles National Forest,<5,NA
Los Angeles - Angelino Heights,186,9.2
Los Angeles - Arleta,3419,13
Los Angeles - Atwater Village,2029,16.2
Los Angeles - Baldwin Hills,2611,10.9
Los Angeles - Bel Air,2148,30.8
Los Angeles - Beverly Crest,2976,29.9
Los Angeles - Beverlywood,2268,23.2
Los Angeles - Boyle Heights,5872,9.4
Los Angeles - Brentwood,6509,25.2
Los Angeles - Brookside,109,23.9
Los Angeles - Cadillac-Corning,445,8.2
Los Angeles - Canoga Park,5429,11
Los Angeles - Carthay,2699,21.9
Los Angeles - Central,1546,5.7
Los Angeles - Century City,3234,31.2
Los Angeles - Century Palms/Cove,1339,5.7
Los Angeles - Chatsworth,6231,20
Los Angeles - Cheviot Hills,2401,33.7
Los Angeles - Chinatown,689,9.4
Los Angeles - Cloverdale/Cochran,953,8.5
Los Angeles - Country Club Park,1926,15.6
Los Angeles - Crenshaw District,1265,11.7
Los Angeles - Crestview,1624,18.5
Los Angeles - Del Rey,3408,14.2
Los Angeles - Downtown,4116,12.8
Los Angeles - Eagle Rock,5570,17.2
Los Angeles - East Hollywood,2426,10.2
Los Angeles - Echo Park,1259,10.5
Los Angeles - El Sereno,4292,13.3
Los Angeles - Elysian Park,804,16.9
Los Angeles - Elysian Valley,1053,13.1
Los Angeles - Encino,10133,27.8
Los Angeles - Exposition,266,10.3
Los Angeles - Exposition Park,2602,7.4
Los Angeles - Faircrest Heights,377,13.1
Los Angeles - Figueroa Park Square,523,8
Los Angeles - Florence-Firestone,1812,5.5
Los Angeles - Glassell Park,3816,15.4
Los Angeles - Gramercy Place,1013,11.7
Los Angeles - Granada Hills,9052,18.9
Los Angeles - Green Meadows,848,5.7
Los Angeles - Hancock Park,2866,21.4
Los Angeles - Harbor City,2945,13.1
Los Angeles - Harbor Gateway,3236,9.9
Los Angeles - Harbor Pines,271,14.4
Los Angeles - Harvard Heights,1221,8.9
Los Angeles - Harvard Park,2158,7.7
Los Angeles - Highland Park,4695,12.7
Los Angeles - Historic Filipinotown,1325,12.1
Los Angeles - Hollywood,5193,8.6
Los Angeles - Hollywood Hills,3493,13.8
Los Angeles - Hyde Park,1991,9.1
Los Angeles - Jefferson Park,572,9.5
Los Angeles - Koreatown,3757,9
Los Angeles - Lafayette Square,331,9.4
Los Angeles - Lake Balboa,3743,11.5
Los Angeles - Lakeview Terrace,1326,13.2
Los Angeles - Leimert Park,1326,10.7
Los Angeles - Lincoln Heights,2760,11.1
Los Angeles - Little Armenia,577,8.6
Los Angeles - Little Bangladesh,2197,9.6
Los Angeles - Little Tokyo,546,19
Los Angeles - Longwood,376,11.3
Los Angeles - Los Feliz,2686,14.5
Los Angeles - Manchester Square,641,9.5
Los Angeles - Mandeville Canyon,823,31.9
Los Angeles - Mar Vista,5651,16.6
Los Angeles - Marina Peninsula,830,22
Los Angeles - Melrose,7720,12.3
Los Angeles - Mid-city,1473,12.1
Los Angeles - Miracle Mile,2066,13.5
Los Angeles - Mission Hills,2806,14.9
Los Angeles - Mt. Washington,2651,14
Los Angeles - North Hills,5984,12.9
Los Angeles - North Hollywood,10549,8.8
Los Angeles - Northridge,9473,16.2
Los Angeles - Pacific Palisades,4582,27.1
Los Angeles - Pacoima,5312,9.7
Los Angeles - Palisades Highlands,893,28.1
Los Angeles - Palms,4384,12.1
Los Angeles - Panorama City,6433,11.6
Los Angeles - Park La Brea,1108,10.4
Los Angeles - Pico-Union,3045,9.6
Los Angeles - Playa Del Rey,443,16.6
Los Angeles - Playa Vista,1901,21.1
Los Angeles - Porter Ranch,7430,24.9
Los Angeles - Rancho Park,1308,26.3
Los Angeles - Regent Square,268,12.2
Los Angeles - Reseda,9370,15.6
Los Angeles - Reseda Ranch,468,12.7
Los Angeles - Reynier Village,470,14.3
Los Angeles - San Pedro,7606,12.6
Los Angeles - Shadow Hills,565,15
Los Angeles - Sherman Oaks,12518,17.6
Los Angeles - Silverlake,5277,14.4
Los Angeles - South Carthay,1540,18.4
Los Angeles - South Park,1526,5.8
Los Angeles - St Elmo Village,322,9.3
Los Angeles - Studio City,3332,17.9
Los Angeles - Sun Valley,4448,11.2
Los Angeles - Sunland,2608,15.3
Los Angeles - Sycamore Square,54,9.8
Los Angeles - Sylmar,7733,12.5
Los Angeles - Tarzana,5899,23.6
Los Angeles - Temple-Beaudry,2828,9.2
Los Angeles - Thai Town,528,6.1
Los Angeles - Toluca Lake,1033,13.7
Los Angeles - Toluca Terrace,176,18
Los Angeles - Toluca Woods,246,15.7
Los Angeles - Tujunga,3208,14.1
Los Angeles - University Hills,261,9.3
Los Angeles - University Park,1347,5.7
Los Angeles - Valley Glen,2561,10.8
Los Angeles - Valley Village,2901,14.3
Los Angeles - Van Nuys,6459,9.2
Los Angeles - Venice,3594,12.7
Los Angeles - Vermont Knolls,930,7.4
Los Angeles - Vermont Square,478,8.4
Los Angeles - Vermont Vista,1453,5.2
Los Angeles - Vernon Central,1954,5.5
Los Angeles - Victoria Park,557,8.7
Los Angeles - View Heights,393,12.9
Los Angeles - Watts,1738,6.1
Los Angeles - Wellington Square,385,10.3
Los Angeles - West Adams,2506,11.9
Los Angeles - West Hills,7213,21.2
Los Angeles - West Los Angeles,5287,16.3
Los Angeles - West Vernon,2920,7.4
Los Angeles - Westchester,6272,14.7
Los Angeles - Westlake,3575,7.7
Los Angeles - Westwood,8709,18
Los Angeles - Wholesale District,3742,11.7
Los Angeles - Wilmington,3233,8
Los Angeles - Wilshire Center,4161,10.5
Los Angeles - Winnetka,5663,14.1
Los Angeles - Woodland Hills,11664,20.9
Unincorporated - Acton,613,9
Unincorporated - Agua Dulce,411,11.3
Unincorporated - Altadena,7033,19.7
Unincorporated - Anaverde,136,11
Unincorporated - Angeles National Forest,59,5.5
Unincorporated - Arcadia,1280,19.9
Unincorporated - Athens Village,439,12.1
Unincorporated - Athens-Westmont,2205,7
Unincorporated - Avocado Heights,517,10
Unincorporated - Azusa,1181,10.1
Unincorporated - Bandini Islands,<5,NA
Unincorporated - Bassett,1435,12.7
Unincorporated - Bouquet Canyon,81,9.2
Unincorporated - Bradbury,254,90.7
Unincorporated - Canyon Country,170,11.2
Unincorporated - Castaic,2272,10.3
Unincorporated - Cerritos,84,18.7
Unincorporated - Charter Oak,<5,NA
Unincorporated - Claremont,78,14.6
Unincorporated - Covina,1816,13.6
Unincorporated - Covina (Charter Oak),1388,13
Unincorporated - Del Aire,439,12.6
Unincorporated - Del Rey,48,13.2
Unincorporated - Del Sur,146,7
Unincorporated - Desert View Highlands,158,8.1
Unincorporated - Duarte,400,12.1
Unincorporated - East Covina,64,21
Unincorporated - East La Mirada,608,14.1
Unincorporated - East Lancaster,<5,NA
Unincorporated - East Los Angeles,8410,9.3
Unincorporated - East Pasadena,1348,21.6
Unincorporated - East Rancho Dominguez,693,6.5
Unincorporated - East Whittier,493,11.8
Unincorporated - El Camino Village,1106,16.8
Unincorporated - El Monte,9,9.2
Unincorporated - Elizabeth Lake,69,4.9
Unincorporated - Florence-Firestone,2540,5.6
Unincorporated - Franklin Canyon,<5,NA
Unincorporated - Glendora,97,16.8
Unincorporated - Hacienda Heights,7412,15.9
Unincorporated - Harbor Gateway,<5,NA
Unincorporated - Hawthorne,150,8.1
Unincorporated - Hi Vista,36,4.2
Unincorporated - Kagel/Lopez Canyons,84,7.9
Unincorporated - La Crescenta-Montrose,3061,18.4
Unincorporated - La Habra Heights,39,6.6
Unincorporated - La Rambla,193,11.7
Unincorporated - La Verne,347,21.5
Unincorporated - Ladera Heights,1390,22.9
Unincorporated - Lake Hughes,22,4.4
Unincorporated - Lake Los Angeles,498,5.2
Unincorporated - Lake Manor,156,11.3
Unincorporated - Lakewood,12,11.5
Unincorporated - Lennox,1006,6.2
Unincorporated - Leona Valley,147,9.5
Unincorporated - Littlerock,162,5.1
Unincorporated - Littlerock/Juniper Hills,127,10.5
Unincorporated - Littlerock/Pearblossom,131,4.8
Unincorporated - Llano,36,4.9
Unincorporated - Long Beach,262,21.3
Unincorporated - Lynwood,<5,NA
Unincorporated - Marina del Rey,1177,14.1
Unincorporated - Miracle Mile,<5,NA
Unincorporated - Monrovia,521,16.7
Unincorporated - Newhall,16,9.1
Unincorporated - North Lancaster,126,12.3
Unincorporated - North Whittier,1007,15.4
Unincorporated - Northeast San Gabriel,3328,17
Unincorporated - Padua Hills,39,30.5
Unincorporated - Palmdale,10,1.7
Unincorporated - Palos Verdes Peninsula,89,16.3
Unincorporated - Pearblossom/Llano,70,4.3
Unincorporated - Pellissier Village,49,10.8
Unincorporated - Placerita Canyon,17,5.1
Unincorporated - Pomona,57,3.2
Unincorporated - Quartz Hill,1075,10.3
Unincorporated - Rancho Dominguez,268,12
Unincorporated - Roosevelt,33,4.7
Unincorporated - Rosewood,82,8
Unincorporated - Rosewood/East Gardena,105,10.8
Unincorporated - Rosewood/West Rancho Dominguez,169,6.6
Unincorporated - Rowland Heights,6437,15.2
Unincorporated - San Clemente Island,<5,NA
Unincorporated - San Francisquito Canyon/Bouquet Canyon,42,30.7
Unincorporated - San Jose Hills,1429,9.4
Unincorporated - San Pasqual,363,22.6
Unincorporated - Sand Canyon,62,22.4
Unincorporated - Santa Catalina Island,16,6.5
Unincorporated - Santa Monica Mountains,2607,16.6
Unincorporated - Saugus,41,30.8
Unincorporated - Saugus/Canyon Country,126,38
Unincorporated - South Antelope Valley,23,5.6
Unincorporated - South Edwards,<5,NA
Unincorporated - South El Monte,94,7
Unincorporated - South San Gabriel,1316,17.9
Unincorporated - South Whittier,4831,10.6
Unincorporated - Southeast Antelope Valley,41,6.7
Unincorporated - Stevenson Ranch,2774,16.6
Unincorporated - Sun Village,247,5.5
Unincorporated - Sunrise Village,149,14.6
Unincorporated - Twin Lakes/Oat Mountain,216,15.9
Unincorporated - Universal City,<5,NA
Unincorporated - Val Verde,237,9
Unincorporated - Valencia,401,18.3
Unincorporated - Valinda,2128,11.9
Unincorporated - View Park/Windsor Hills,1683,17.2
Unincorporated - Walnut,<5,NA
Unincorporated - Walnut Park,1129,9.4
Unincorporated - West Antelope Valley,88,6.7
Unincorporated - West Carson,3364,18.6
Unincorporated - West Chatsworth,<5,NA
Unincorporated - West LA,82,9.4
Unincorporated - West Puente Valley,852,11.2
Unincorporated - West Rancho Dominguez,90,8.5
Unincorporated - West Whittier/Los Nietos,2498,12
Unincorporated - Westfield/Academy Hills,310,27.7
Unincorporated - Westhills,175,23.3
Unincorporated - White Fence Farms,343,10.5
Unincorporated - Whittier,677,21.5
Unincorporated - Whittier Narrows,<5,NA
Unincorporated - Willowbrook,1700,6.7
Unincorporated - Wiseburn,609,12.9
